prefab	display	type	stack	weight	value	teleportable	token
DvergerStaffHeal	Club	Utility	1	1	0	true	Club
DvergerStaffHeal_heal	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffIce	Club	Utility	1	1	0	true	Club
DvergerStaffIce_icebolt	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffNova	Club	OneHandedWeapon	1	1	0	true	Club
DvergerStaffSupport	Club	Utility	1	1	0	true	Club
DvergerStaffSupport_buff	Club	OneHandedWeapon	1	1	0	true	Club
DvergerSuitArbalest	Iron plate armor	Chest	1	1	0	true	Iron plate armor
DvergerSuitArbalest_Ashlands	Iron plate armor	Chest	1	1	0	true	Iron plate armor
DvergerSuitFire	Iron plate armor	Chest	1	1	0	true	Iron plate armor
DvergerSuitIce	Iron plate armor	Chest	1	1	0	true	Iron plate armor
DvergerSuitSupport	Iron plate armor	Chest	1	1	0	true	Iron plate armor
DvergrKey	$item_dvergrkey	Misc	1	0.5	0	true	$item_dvergrkey
DvergrKeyFragment	$item_dvergrkeyfragment	Material	9	0.5	0	true	$item_dvergrkeyfragment
DvergrNeedle	$item_dvergrneedle	Material	10	5	0	false	$item_dvergrneedle
DyrnwynBladeFragment	$item_Dyrnwyn_blade	Material	1	0.5	0	true	$item_Dyrnwyn_blade
DyrnwynHiltFragment	$item_Dyrnwyn_hilt	Material	1	0.5	0	true	$item_Dyrnwyn_hilt
DyrnwynTipFragment	$item_Dyrnwyn_tip	Material	1	0.5	0	true	$item_Dyrnwyn_tip
Ectoplasm	$item_ectoplasm	Material	50	2	0	true	$item_ectoplasm
Eikthyr_antler	StagAttack1	OneHandedWeapon	1	1	0	true	StagAttack1
Eikthyr_charge	StagAttack2	OneHandedWeapon	1	1	0	true	StagAttack2
Eikthyr_flegs_OLD	StagAttack1	OneHandedWeapon	1	1	0	true	StagAttack1
Eikthyr_stomp	slap	OneHandedWeapon	1	1	0	true	slap
Eitr	$item_eitr	Material	30	5	0	true	$item_eitr
ElderBark	$item_elderbark	Material	50	2	0	true	$item_elderbark
Entrails	$item_entrails	Material	50	0.5	0	true	$item_entrails
Eyescream	$item_eyescream	Consumable	10	0.5	0	true	$item_eyescream
Fader_Bite	Fader Bite	OneHandedWeapon	1	1	0	true	Fader Bite
Fader_Claw_Left	Fader Claw Left	OneHandedWeapon	1	1	0	true	Fader Claw Left
Fader_Claw_Right	Fader Claw Right	OneHandedWeapon	1	1	0	true	Fader Claw Right
Fader_Fissure	Fader Fissure	OneHandedWeapon	1	1	0	true	Fader Fissure
Fader_Fissure_Intense	Fader Fissure	OneHandedWeapon	1	1	0	true	Fader Fissure
Fader_Flamebreath	Fader Firebreath	OneHandedWeapon	1	1	0	true	Fader Firebreath
Fader_Jump	Fader Jump	OneHandedWeapon	1	1	0	true	Fader Jump
Fader_Jump_Left	Fader Jump	OneHandedWeapon	1	1	0	true	Fader Jump
Fader_Jump_Right	Fader Jump	OneHandedWeapon	1	1	0	true	Fader Jump
Fader_Meteors	spawn	OneHandedWeapon	1	1	0	true	spawn
Fader_Meteors_Intense	spawn	OneHandedWeapon	1	1	0	true	spawn
Fader_Roar	Fader Roar	OneHandedWeapon	1	1	0	true	Fader Roar
Fader_Roar_Intense	Fader Roar	OneHandedWeapon	1	1	0	true	Fader Roar
Fader_Spin	Fader Spin	OneHandedWeapon	1	1	0	true	Fader Spin
Fader_Taunt	Fader Taunt	OneHandedWeapon	1	1	0	true	Fader Taunt
Fader_WallOfFire	Fader Wall of Fire	OneHandedWeapon	1	1	0	true	Fader Wall of Fire
FaderDrop	$item_fader_drop	Material	30	1	0	true	$item_fader_drop
fallenvalkyrie_claws	Fallen Valkyrie Claws	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Claws
fallenvalkyrie_poisonbreath	Fallen Valkyrie Poison Breath	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Poison Breath
fallenvalkyrie_screech	Fallen Valkyrie Claws	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Claws
fallenvalkyrie_spin	Fallen Valkyrie Aoe Spin	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Aoe Spin
fallenvalkyrie_spit	cold ball	OneHandedWeapon	1	1	0	true	cold ball
fallenvalkyrie_swoopattack	Fallen Valkyrie swooping	OneHandedWeapon	1	1	0	true	Fallen Valkyrie swooping
fallenvalkyrie_taunt	Fallen Valkyrie Claws	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Claws
fallenvalkyrie_wingspin	Fallen Valkyrie Wingspin	OneHandedWeapon	1	1	0	true	Fallen Valkyrie Wingspin
FeastAshlands	$item_feastashlands	Consumable	1	1	0	true	$item_feastashlands
FeastAshlands_Material	$item_feastashlands	Material	5	10	0	true	$item_feastashlands
FeastBlackforest	$item_feastblackforest	Consumable	1	1	0	true	$item_feastblackforest
FeastBlackforest_Material	$item_feastblackforest	Material	5	10	0	true	$item_feastblackforest
Feaster	$item_feaster	Tool	1	2	0	true	$item_feaster
FeastMeadows	$item_feastmeadows	Consumable	1	1	0	true	$item_feastmeadows
FeastMeadows_Material	$item_feastmeadows	Material	5	10	0	true	$item_feastmeadows
FeastMistlands	$item_feastmistlands	Consumable	1	1	0	true	$item_feastmistlands
FeastMistlands_Material	$item_feastmistlands	Material	5	10	0	true	$item_feastmistlands
FeastMountains	$item_feastmountains	Consumable	1	1	0	true	$item_feastmountains
FeastMountains_Material	$item_feastmountains	Material	5	10	0	true	$item_feastmountains
FeastOceans	$item_feastoceans	Consumable	1	1	0	true	$item_feastoceans
FeastOceans_Material	$item_feastoceans	Material	5	10	0	true	$item_feastoceans
FeastPlains	$item_feastplains	Consumable	1	1	0	true	$item_feastplains
FeastPlains_Material	$item_feastplains	Material	5	10	0	true	$item_feastplains
FeastSwamps	$item_feastswamps	Consumable	1	1	0	true	$item_feastswamps
FeastSwamps_Material	$item_feastswamps	Material	5	10	0	true	$item_feastswamps
Feathers	$item_feathers	Material	50	0.1	0	true	$item_feathers
Fenring_attack_claw	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_attack_fireclaw	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_attack_fireclaw_double	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_attack_flames	Fenring cultist flames	OneHandedWeapon	1	1	0	true	Fenring cultist flames
Fenring_attack_frost	Fenring cultist frost	OneHandedWeapon	1	1	0	true	Fenring cultist frost
Fenring_attack_iceclaw	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_attack_iceclaw_double	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_attack_IceNova	Club	OneHandedWeapon	1	1	0	true	Club
Fenring_attack_jump	claw	OneHandedWeapon	1	1	0	true	claw
Fenring_taunt	scream	OneHandedWeapon	1	1	0	true	scream
Fiddleheadfern	$item_fiddleheadfern	Consumable	50	0.1	0	true	$item_fiddleheadfern
FierySvinstew	$item_fierysvinstew	Consumable	10	1	0	true	$item_fierysvinstew
FineWood	$item_finewood	Material	50	2	0	true	$item_finewood
FirCone	$item_fircone	Material	100	0.1	0	true	$item_fircone
FireworksRocket_Blue	$item_fireworkrocket_blue	Material	10	0.5	0	true	$item_fireworkrocket_blue
FireworksRocket_Cyan	$item_fireworkrocket_cyan	Material	10	0.5	0	true	$item_fireworkrocket_cyan
FireworksRocket_Green	$item_fireworkrocket_green	Material	10	0.5	0	true	$item_fireworkrocket_green
FireworksRocket_Purple	$item_fireworkrocket_purple	Material	10	0.5	0	true	$item_fireworkrocket_purple
FireworksRocket_Red	$item_fireworkrocket_red	Material	10	0.5	0	true	$item_fireworkrocket_red
FireworksRocket_White	$item_fireworkrocket_white	Material	10	0.5	0	true	$item_fireworkrocket_white
FireworksRocket_Yellow	$item_fireworkrocket_yellow	Material	10	0.5	0	true	$item_fireworkrocket_yellow
Fish1	$animal_fish1	Fish	10	2	0	true	$animal_fish1
Fish10	$animal_fish10	Fish	10	2	0	true	$animal_fish10
Fish11	$animal_fish11	Fish	10	2	0	true	$animal_fish11
Fish12	$animal_fish12	Fish	10	2	0	true	$animal_fish12
Fish2	$animal_fish2	Fish	10	2	0	true	$animal_fish2
Fish3	$animal_fish3	Fish	10	2	0	true	$animal_fish3
Fish4_cave	$animal_fish4	Fish	10	2	0	true	$animal_fish4
Fish5	$animal_fish5	Fish	10	2	0	true	$animal_fish5
Fish6	$animal_fish6	Fish	10	2	0	true	$animal_fish6
Fish7	$animal_fish7	Fish	10	2	0	true	$animal_fish7
Fish8	$animal_fish8	Fish	10	2	0	true	$animal_fish8
Fish9	$animal_fish9	Fish	10	2	0	true	$animal_fish9
FishAndBread	$item_fishandbread	Consumable	10	1	0	true	$item_fishandbread
FishAndBreadUncooked	$item_fishandbreaduncooked	Material	10	1	0	true	$item_fishandbreaduncooked
FishAnglerRaw	$item_fish_raw	Material	20	0.5	0	true	$item_fish_raw
FishCooked	$item_fish_cooked	Consumable	20	0.5	0	true	$item_fish_cooked
FishingBait	$item_fishingbait	Ammo	100	0.1	0	true	$item_fishingbait
FishingBaitAshlands	$item_fishingbait_ashlands	Ammo	100	0.1	0	true	$item_fishingbait_ashlands
FishingBaitCave	$item_fishingbait_cave	Ammo	100	0.1	0	true	$item_fishingbait_cave
FishingBaitDeepNorth	$item_fishingbait_deepnorth	Ammo	100	0.1	0	true	$item_fishingbait_deepnorth
FishingBaitForest	$item_fishingbait_forest	Ammo	100	0.1	0	true	$item_fishingbait_forest
FishingBaitMistlands	$item_fishingbait_mistlands	Ammo	100	0.1	0	true	$item_fishingbait_mistlands
FishingBaitOcean	$item_fishingbait_ocean	Ammo	100	0.1	0	true	$item_fishingbait_ocean
FishingBaitPlains	$item_fishingbait_plains	Ammo	100	0.1	0	true	$item_fishingbait_plains
FishingBaitSwamp	$item_fishingbait_swamp	Ammo	100	0.1	0	true	$item_fishingbait_swamp
FishingRod	$item_fishingrod	TwoHandedWeapon	1	1.5	0	true	$item_fishingrod
FishRaw	$item_fish_raw	Material	20	0.5	0	true	$item_fish_raw
FishWraps	$item_fishwraps	Consumable	10	1	0	true	$item_fishwraps
FistBjornClaw	$item_fistweapon_bjorn	TwoHandedWeapon	1	2	0	true	$item_fistweapon_bjorn
FistBjornUndeadClaw	$item_fistweapon_bjorn_undead	TwoHandedWeapon	1	2	0	true	$item_fistweapon_bjorn_undead
FistFenrirClaw	$item_fistweapon_fenris	TwoHandedWeapon	1	2	0	true	$item_fistweapon_fenris
Flametal	$item_flametal_old	Material	30	12	0	false	$item_flametal_old
FlametalNew	$item_flametal	Material	30	12	0	false	$item_flametal
FlametalOre	$item_flametalore_old	Material	30	12	0	false	$item_flametalore_old
FlametalOreNew	$item_flametalore	Material	30	10	0	false	$item_flametalore
Flax	$item_flax	Material	100	0.2	0	true	$item_flax
Flint	$item_flint	Material	30	2	0	true	$item_flint
FragrantBundle	$item_fragrantbundle	Material	50	0.5	0	true	$item_fragrantbundle
FreezeGland	$item_freezegland	Material	50	0.5	0	true	$item_freezegland
FreshSeaweed	$item_freshseaweed	Material	50	0.5	0	true	$item_freshseaweed
gd_king_punch	jaws	OneHandedWeapon	1	1	0	true	jaws
gd_king_rootspawn	spawn	OneHandedWeapon	1	1	0	true	spawn
gd_king_scream	scream	OneHandedWeapon	1	1	0	true	scream
gd_king_shoot	shaman attack	OneHandedWeapon	1	1	0	true	shaman attack
gd_king_stomp	jaws	OneHandedWeapon	1	1	0	true	jaws
GemstoneBlue	$item_gemstone_blue	Material	50	2	0	true	$item_gemstone_blue
GemstoneGreen	$item_gemstone_green	Material	50	2	0	true	$item_gemstone_green
GemstoneRed	$item_gemstone_red	Material	50	2	0	true	$item_gemstone_red
Ghost_attack	jaws	OneHandedWeapon	1	1	0	true	jaws
GiantBloodSack	$item_bloodclot	Material	50	0.5	0	true	$item_bloodclot
gjall_attack_egg	egg drop	OneHandedWeapon	1	1	0	true	egg drop
gjall_attack_shake	gjall shake	OneHandedWeapon	1	1	0	true	gjall shake
gjall_attack_spit	gjall spit	OneHandedWeapon	1	1	0	true	gjall spit
gjall_attack_taunt	gjall taunt	OneHandedWeapon	1	1	0	true	gjall taunt
GoblinArmband	Iron plate armor	Chest	1	1	0	true	Iron plate armor
GoblinBrute_ArmGuard	Iron plate armor	Chest	1	1	0	true	Iron plate armor
GoblinBrute_Attack	Brute sword	OneHandedWeapon	1	1	0	true	Brute sword
GoblinBrute_Backbones	Iron plate armor	Helmet	1	1	0	true	Iron plate armor
GoblinBrute_ExecutionerCap	Iron plate armor	Helmet	1	1	0	true	Iron plate armor
GoblinBrute_HipCloth	Iron plate armor	Legs	1	1	0	true	Iron plate armor
GoblinBrute_LegBones	Iron plate armor	Utility	1	1	0	true	Iron plate armor
GoblinBrute_RageAttack	Brute sword	OneHandedWeapon	1	1	0	true	Brute sword
GoblinBrute_ShoulderGuard	Iron plate armor	Shoulder	1	1	0	true	Iron plate armor
GoblinBrute_Taunt	Brute taunt	OneHandedWeapon	1	1	0	true	Brute taunt
GoblinBruteBros_Attack	Brute sword	OneHandedWeapon	1	1	0	true	Brute sword
GoblinBruteBros_RageAttack	Brute sword	OneHandedWeapon	1	1	0	true	Brute sword
GoblinClub	Club	OneHandedWeapon	1	1	0	true	Club
GoblinHelmet	Iron plate armor	Chest	1	1	0	true	Iron plate armor
GoblinKing_Beam	dragon breath	OneHandedWeapon	1	1	0	true	dragon breath
GoblinKing_Meteors	spawn	OneHandedWeapon	1	1	0	true	spawn
GoblinKing_Nova	slap	OneHandedWeapon	1	1	0	true	slap
GoblinKing_Taunt	scream	OneHandedWeapon	1	1	0	true	scream
GoblinLegband	Iron plate armor	Chest	1	1	0	true	Iron plate armor
GoblinLoin	Iron plate armor	Legs	1	1	0	true	Iron plate armor
GoblinShaman_attack_fireball	fireballattack	OneHandedWeapon	1	1	0	true	fireballattack
GoblinShaman_attack_fireball_hildir	fireballattack	OneHandedWeapon	1	1	0	true	fireballattack
GoblinShaman_attack_poke	Club	OneHandedWeapon	1	1	0	true	Club
GoblinShaman_attack_protect	heal	OneHandedWeapon	1	1	0	true	heal
GoblinShaman_attack_protect_hildir	heal	OneHandedWeapon	1	1	0	true	heal
GoblinShaman_Headdress_antlers	Club	Helmet	1	1	0	true	Club
GoblinShaman_Headdress_feathers	Club	Helmet	1	1	0	true	Club
GoblinShaman_Staff_Bones	Club	Utility	1	1	0	true	Club
GoblinShaman_Staff_Feathers	Club	Utility	1	1	0	true	Club
GoblinShaman_Staff_Hildir	Club	Utility	1	1	0	true	Club
GoblinShoulders	Iron plate armor	Chest	1	1	0	true	Iron plate armor
GoblinSpear	Flint spear	OneHandedWeapon	10	1	0	true	Flint spear
GoblinSword	Bronze sword	OneHandedWeapon	1	1	0	true	Bronze sword
GoblinTorch	Torch	OneHandedWeapon	1	1	0	true	Torch
GoblinTotem	$item_goblintotem	Misc	30	1	0	true	$item_goblintotem
Grausten	$item_grausten	Material	50	2	0	true	$item_grausten
Greydwarf_attack	jaws	OneHandedWeapon	1	1	0	true	jaws
Greydwarf_elite_attack	jaws	OneHandedWeapon	1	1	0	true	jaws
Greydwarf_shaman_attack	shaman attack	OneHandedWeapon	1	1	0	true	shaman attack
Greydwarf_shaman_heal	heal	OneHandedWeapon	1	1	0	true	heal
Greydwarf_throw	throw stone	OneHandedWeapon	1	1	0	true	throw stone
GreydwarfEye	$item_greydwarfeye	Material	50	0.2	0	true	$item_greydwarfeye
Greyling_attack	jaws	OneHandedWeapon	1	1	0	true	jaws
Guck	$item_guck	Material	50	0.5	0	true	$item_guck
Hair1	$customization_hair01	Customization	1	1	0	true	$customization_hair01
Hair10	$customization_hair10	Customization	1	1	0	true	$customization_hair10
Hair10_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair11	$customization_hair11	Customization	1	1	0	true	$customization_hair11
Hair11_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair11_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair12	$customization_hair12	Customization	1	1	0	true	$customization_hair12
Hair12_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair13	$customization_hair13	Customization	1	1	0	true	$customization_hair13
Hair13_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair13_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair14	$customization_hair14	Customization	1	1	0	true	$customization_hair14
Hair14_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair15	$customization_hair15	Customization	1	1	0	true	$customization_hair15
Hair15_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair15_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair16	$customization_hair16	Customization	1	1	0	true	$customization_hair16
Hair16_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair17	$customization_hair17	Customization	1	1	0	true	$customization_hair17
Hair17_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair18	$customization_hair18	Customization	1	1	0	true	$customization_hair18
Hair18_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair19	$customization_hair19	Customization	1	1	0	true	$customization_hair19
Hair2	$customization_hair02	Customization	1	1	0	true	$customization_hair02
Hair20	$customization_hair20	Customization	1	1	0	true	$customization_hair20
Hair21	$customization_hair21	Customization	1	1	0	true	$customization_hair21
Hair21_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair22	$customization_hair22	Customization	1	1	0	true	$customization_hair22
Hair22_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair23	$customization_hair23	Customization	1	1	0	true	$customization_hair23
Hair24	$customization_hair24	Customization	1	1	0	true	$customization_hair24
Hair24_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair24_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair25	$customization_hair25	Customization	1	1	0	true	$customization_hair25
Hair26	$customization_hair26	Customization	1	1	0	true	$customization_hair26
Hair27	$customization_hair27	Customization	1	1	0	true	$customization_hair27
Hair27_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair27_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair28	$customization_hair28	Customization	1	1	0	true	$customization_hair28
Hair28_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair28_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair29	$customization_hair29	Customization	1	1	0	true	$customization_hair29
Hair29_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair3	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair3_2	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair3_3	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair30	$customization_hair30	Customization	1	1	0	true	$customization_hair30
Hair30_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair30_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair31	$customization_hair31	Customization	1	1	0	true	$customization_hair31
Hair31_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair31_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair32	$customization_hair32	Customization	1	1	0	true	$customization_hair32
Hair32_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair32_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair33	$customization_hair33	Customization	1	1	0	true	$customization_hair33
Hair33_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair34	$customization_hair34	Customization	1	1	0	true	$customization_hair34
Hair34_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair34_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair35	$customization_hair35	Customization	1	1	0	true	$customization_hair35
Hair35_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair35_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair36	$customization_hair36	Customization	1	1	0	true	$customization_hair36
Hair36_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair36_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair37	$customization_hair37	Customization	1	1	0	true	$customization_hair37
Hair37_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair37_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair4	$customization_hair04	Customization	1	1	0	true	$customization_hair04
Hair4_2	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair4_3	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair5	$customization_hair05	Customization	1	1	0	true	$customization_hair05
Hair5_2	$customization_hair03	Customization	1	1	0	true	$customization_hair03
Hair6	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair6_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair6_3	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair7	$customization_hair07	Customization	1	1	0	true	$customization_hair07
Hair7_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair8	$customization_hair08	Customization	1	1	0	true	$customization_hair08
Hair8_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
Hair9	$customization_hair09	Customization	1	1	0	true	$customization_hair09
Hair9_2	$customization_hair06	Customization	1	1	0	true	$customization_hair06
HairNone	$customization_nohair	Customization	1	1	0	true	$customization_nohair
Hammer	$item_hammer	Tool	1	2	0	true	$item_hammer
HardAntler	$item_hardantler	Material	50	2	0	true	$item_hardantler
HareMeat	$item_hare_meat	Material	20	1	0	true	$item_hare_meat
hatchling_spit_cold	cold ball	OneHandedWeapon	1	1	0	true	cold ball
HealthUpgrade_Bonemass	Bonemass heart	Consumable	1	1	0	true	Bonemass heart
HealthUpgrade_GDKing	Elder heart	Consumable	1	1	0	true	Elder heart
HelmetAshlandsMediumHood	$item_helmet_medium_ashlands	Helmet	1	1	0	true	$item_helmet_medium_ashlands
HelmetBerserkerHood	$item_helmet_berserker	Helmet	1	1	0	true	$item_helmet_berserker
HelmetBerserkerUndead	$item_helmet_berserker_undead	Helmet	1	1	0	true	$item_helmet_berserker_undead
HelmetBronze	$item_helmet_bronze	Helmet	1	3	0	true	$item_helmet_bronze
HelmetCarapace	$item_helmet_carapace	Helmet	1	3	0	true	$item_helmet_carapace
HelmetCelebration	$item_helmet_celebration	Helmet	1	3	0	true	$item_helmet_celebration
HelmetDrake	$item_helmet_drake	Helmet	1	3	0	true	$item_helmet_drake
HelmetDverger	$item_helmet_dverger	Helmet	1	1	0	true	$item_helmet_dverger
HelmetFenring	$item_helmet_fenris	Helmet	1	1	0	true	$item_helmet_fenris
HelmetFishingHat	$item_helmet_fishinghat	Helmet	1	3	0	true	$item_helmet_fishinghat
HelmetFlametal	$item_helmet_flametal	Helmet	1	3	0	true	$item_helmet_flametal
HelmetHat1	$item_helmet_hat1	Helmet	1	3	0	true	$item_helmet_hat1
HelmetHat10	$item_helmet_hat10	Helmet	1	3	0	true	$item_helmet_hat10
HelmetHat2	$item_helmet_hat2	Helmet	1	3	0	true	$item_helmet_hat2
HelmetHat3	$item_helmet_hat3	Helmet	1	3	0	true	$item_helmet_hat3
HelmetHat4	$item_helmet_hat4	Helmet	1	3	0	true	$item_helmet_hat4
HelmetHat5	$item_helmet_hat5	Helmet	1	3	0	true	$item_helmet_hat5
HelmetHat6	$item_helmet_hat6	Helmet	1	3	0	true	$item_helmet_hat6
HelmetHat7	$item_helmet_hat7	Helmet	1	3	0	true	$item_helmet_hat7
HelmetHat8	$item_helmet_hat8	Helmet	1	3	0	true	$item_helmet_hat8
HelmetHat9	$item_helmet_hat9	Helmet	1	3	0	true	$item_helmet_hat9
HelmetIron	$item_helmet_iron	Helmet	1	3	0	true	$item_helmet_iron
HelmetLeather	$item_helmet_leather	Helmet	1	1	0	true	$item_helmet_leather
HelmetMage	$item_helmet_mage	Helmet	1	1	0	true	$item_helmet_mage
HelmetMage_Ashlands	$item_helmet_mage_ashlands	Helmet	1	1	0	true	$item_helmet_mage_ashlands
HelmetMidsummerCrown	$item_helmet_midsummercrown	Helmet	1	1	0	true	$item_helmet_midsummercrown
HelmetOdin	$item_helmet_odin	Helmet	1	1	0	true	$item_helmet_odin
HelmetPadded	$item_helmet_padded	Helmet	1	3	0	true	$item_helmet_padded
HelmetPointyHat	$item_helmet_witchhat	Helmet	1	3	0	true	$item_helmet_witchhat
HelmetRoot	$item_helmet_root	Helmet	1	3	0	true	$item_helmet_root
HelmetStrawHat	$item_helmet_strawhat	Helmet	1	3	0	true	$item_helmet_strawhat
HelmetSweatBand	$item_helmet_sweatband	Helmet	1	1	0	true	$item_helmet_sweatband
HelmetTrollLeather	$item_helmet_trollleather	Helmet	1	1	0	true	$item_helmet_trollleather
HelmetYule	$item_helmet_yule	Helmet	1	1	0	true	$item_helmet_yule
HildirKey_forestcrypt	$item_hildirkey1	Misc	1	0.1	0	true	$item_hildirkey1
HildirKey_mountaincave	$item_hildirkey2	Misc	1	0.1	0	true	$item_hildirkey2
HildirKey_plainsfortress	$item_hildirkey3	Misc	1	0.1	0	true	$item_hildirkey3
hive_attack_aoe	heal	OneHandedWeapon	1	1	0	true	heal
hive_attack_punch	slap	OneHandedWeapon	1	1	0	true	slap
hive_attack_ranged	dragon breath	OneHandedWeapon	1	1	0	true	dragon breath
hive_attack_throw	slime throw	OneHandedWeapon	1	1	0	true	slime throw
Hoe	$item_hoe	Tool	1	2	0	true	$item_hoe
Honey	$item_honey	Consumable	50	0.2	0	true	$item_honey
HoneyGlazedChicken	$item_honeyglazedchicken	Consumable	10	1	0	true	$item_honeyglazedchicken
HoneyGlazedChickenUncooked	$item_honeyglazedchickenuncooked	Material	10	1	0	true	$item_honeyglazedchickenuncooked
imp_fireball_attack	fireballattack	OneHandedWeapon	1	1	0	true	fireballattack
Iron	$item_iron	Material	30	12	0	false	$item_iron
IronNails	$item_ironnails	Material	100	0.5	0	true	$item_ironnails
IronOre	$item_ironore	Material	30	10	0	false	$item_ironore
Ironpit	$item_ironpit	Material	10	10	0	false	$item_ironpit
IronScrap	$item_ironscrap	Material	30	10	0	false	$item_ironscrap
JuteBlue	$item_juteblue	Material	50	2	0	true	$item_juteblue
JuteRed	$item_jutered	Material	50	2	0	true	$item_jutered
KnifeBlackMetal	$item_knife_blackmetal	OneHandedWeapon	1	0.3	0	true	$item_knife_blackmetal
KnifeButcher	$item_knife_butcher	OneHandedWeapon	1	0.3	0	true	$item_knife_butcher
KnifeChitin	$item_knife_chitin	OneHandedWeapon	1	0.3	0	true	$item_knife_chitin
KnifeCopper	$item_knife_copper	OneHandedWeapon	1	0.3	0	true	$item_knife_copper
KnifeFlint	$item_knife_flint	OneHandedWeapon	1	0.3	0	true	$item_knife_flint
KnifeSilver	$item_knife_silver	OneHandedWeapon	1	0.3	0	true	$item_knife_silver
KnifeSkollAndHati	$item_knife_skollandhati	TwoHandedWeapon	1	0.3	0	true	$item_knife_skollandhati
KnifeWood	$item_knife_wood	OneHandedWeapon	1	0.3	0	true	$item_knife_wood
Lantern	$item_lantern	Torch	1	2	0	true	$item_lantern
Larva	$item_larva	Material	20	1	0	true	$item_larva
LeatherScraps	$item_leatherscraps	Material	50	0.5	0	true	$item_leatherscraps
Leech_BiteAttack	jaws	OneHandedWeapon	1	1	0	true	jaws
LinenThread	$item_linenthread	Material	50	2	0	true	$item_linenthread
lox_bite	lox bite	OneHandedWeapon	1	1	0	true	lox bite
lox_stomp	slap	OneHandedWeapon	1	1	0	true	slap
LoxMeat	$item_loxmeat	Material	20	2	0	true	$item_loxmeat
LoxPelt	$item_loxpelt	Material	50	1	0	true	$item_loxpelt
LoxPie	$item_loxpie	Consumable	10	1	0	true	$item_loxpie
LoxPieUncooked	$item_loxpie_uncooked	Material	10	1	0	true	$item_loxpie_uncooked
MaceBronze	$item_mace_bronze	OneHandedWeapon	1	2	0	true	$item_mace_bronze
