prefab	name	family	player_item	tier	biome	source	station	station_level	ingredients	drop_rate	boss_gated	limited	trader_price	rarity	complexity	value	class	how	anchor	confidence	wiki_page	exclude_reason	note
FishAnglerRaw	Raw Anglerfish	material	true	6	Mistlands	fish		0		uncommon	false	false	0	3	1	16	rare	raw		medium	Anglerfish		Fish caught from Mistlands waters using Misty fishing bait
GiantBloodSack	Blood clot	material	true	6	Mistlands	drop		0		uncommon	false	false	0	3	1	16	rare	raw		high	Blood Clot		Dropped by Ticks in Mistlands; also spawned by Gjall
SpiceMistlands	Herbs of the Hidden Hills	material	true	6	N/A	trader		0		na	true	false	36	3	1	16	rare	raw		high	Herbs of the Hidden Hills		Bog Witch purchase (180 coins per 5), requires The Queen defeated
MeadBaseHealthMajor	Mead base: Major healing	material	true	6	Plains	brew	Mead ketill	1	Mead base: Major healing x1	na	false	false	0	2	2	23	common	cost		medium	Major Healing Mead		Mead base; major health recovery; crafted at Mead ketill.
HoneyGlazedChickenUncooked	Uncooked honey glazed chicken	material	true	6	Plains	craft	Food preparation table	1	Uncooked honey glazed chicken x1	na	false	false	0	2	3	68	rare	cost		medium	Honey Glazed Chicken		Uncooked food material; crafted at cooking station with multiple ingredient types.
MagicallyStuffedShroomUncooked	Uncooked stuffed mushroom	material	true	6	Mistlands	craft	Food preparation table	1	Uncooked stuffed mushroom x1	na	false	false	0	2	3	68	rare	cost		medium	Stuffed Mushroom		Uncooked food with magical properties (provides Eitr); multi-ingredient craft.
DvergrKeyFragment	Dvergr key fragment	material	true	6	Mistlands	gather		0		na	false	true	0	4	1	29	rare	raw		high	Dvergr key fragment		Limited spawn puzzle piece
FlametalOre	Flametal Ore (Old)	material	true	6	Mistlands	gather		0		uncommon	false	true	0	4	1	29	rare	raw		medium	Flametal Ore		Pre-Ashlands ore from Glowing metal piles; obsoleted, converts to Ancient ore
FishAndBreadUncooked	Uncooked Fish 'n' Bread	material	true	6	Mistlands	craft	Food preparation table	1	Uncooked fish n' bread x1	na	false	false	0	3	2	56	rare	cost		high	Fish 'n' Bread		Mistlands food using Anglerfish from Mistlands fishing
MeadBaseEitrMinor	Mead base: Minor eitr	material	true	6	Mistlands	brew	Mead ketill	1	Mead base: Minor eitr x1	na	false	false	0	3	2	56	rare	cost		medium	Minor Eitr Mead		Mead base for Mistlands; eitr restoration effect.
BlackCore	Black core	material	true	6	Swamp	gather		0		rare	true	false	0	4	1	300	rare	anchor	300	high	Black core		Boss-gated material from high-tier swamp dungeon
Flametal	Flametal (Old)	material	true	6	Mistlands	smelt	Blast furnace	3	Flametal ore (old) x1	na	false	true	0	4	2	103	rare	cost		medium	Flametal		Pre-Ashlands version from Glowing metal piles; converts to Ancient ore in new version
FeastMistlands_Material	Mushrooms galore á la Mistlands	material	true	6	Mistlands	craft	Food preparation table	1	Misthare supreme x1, Cooked seeker meat x3, Yggdrasil porridge x1, Herbs of the hidden hills x1	na	true	false	0	2	5	195	rare	score		high	Mushrooms Galore á la Mistlands		High-tier feast with Yggdrasil and Mistlands ingredients
MechanicalSpring	Mechanical spring	material	true	6	Mistlands	craft	Artisan table	3	Refined eitr x1, Iron x3	na	false	false	0	3	4	180	rare	cost		high	Mechanical Spring		Needs refined eitr, tier 6 crafting
DyrnwynBladeFragment	Dyrnwyn blade fragment	material	true	6	Mistlands	drop		0		rare	true	true	0	5	1	840	ultra	ultra		high	none		Boss-unique fragment from Fader
DyrnwynHiltFragment	Dyrnwyn hilt fragment	material	true	6	Mistlands	drop		0		rare	true	true	0	5	1	840	ultra	ultra		high	none		Boss-unique fragment from Fader
DyrnwynTipFragment	Dyrnwyn tip fragment	material	true	6	Mistlands	drop		0		rare	true	true	0	5	1	840	ultra	ultra		high	none		Boss-unique fragment from Fader
FaderDrop	Fader drop	material	true	6	Mistlands	drop		0		na	true	true	0	5	1	840	ultra	ultra		high	Fader		Boss-unique drop from Fader
QueenDrop	Majestic carapace	material	true	6	Mistlands	boss_drop		0		na	true	true	0	5	1	840	ultra	ultra		high	Majestic Carapace		Unique drop from The Queen boss
AskHide	Asksvin hide	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	anchor	10	high	Asksvin hide		Ashlands creature drop, common material
BjornHide	Bjorn hide	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	anchor	10	high	Bjorn hide		Ashlands creature drop, common material
FlametalOreNew	Flametal Ore	material	true	7	Ashlands	gather		0		uncommon	false	false	0	4	1	90	rare	anchor	90	high	Flametal Ore		Mined from Flametal ore veins in Ashlands; requires Black metal pickaxe
FlametalNew	Flametal	material	true	7	Ashlands	smelt	Blast furnace	3	Flametal ore x1	na	false	false	0	4	2	110	rare	anchor	110	high	Flametal		Smelted from Flametal ore in Blast furnace
AskBladder	Asksvin bladder	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	raw		high	Asksvin bladder		Ashlands creature drop, common material
AsksvinMeat	Asksvin meat	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	raw		high	Asksvin meat		Raw meat drop from Asksvin creatures
BjornMeat	Bjorn meat	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	raw		high	Bjorn meat		Raw meat from Bjorn creatures
CharcoalResin	Charcoal resin	material	true	7	Ashlands	gather		0		na	false	false	0	2	1	10	common	raw		high	Charcoal resin		Ashlands resource
CharredBone	Charred bone	material	true	7	Ashlands	gather		0		na	false	false	0	2	1	10	common	raw		high	Charred bone		Ashlands resource
Charredskull	Charred skull	material	true	7	Ashlands	gather		0		na	false	false	0	2	1	10	common	raw		high	Charred skull		Ashlands resource
Grausten	Grausten	material	true	7	Ashlands	gather		0		common	false	false	0	2	1	10	common	raw		high	Grausten		Harvested from Ashlands ruins and rock formations
PiquantPieUncooked	Uncooked piquant pie	material	true	7	Plains	craft	Food preparation table	1	Piquant pie ingredients	na	false	false	0	2	1	10	common	raw		high	Piquant Pie		Intermediate Plains food
Pot_Shard_Green	Pot shard	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	raw		high	Pot Shard		Dropped by Ancient pots in Charred Ruins/Putrid Hole
RoastedCrustPieUncooked	Uncooked roasted crust pie	material	true	7	Mistlands	craft	Food preparation table	1	Roasted crust pie ingredients	na	false	false	0	2	1	10	common	raw		high	Roasted Crust Pie		Intermediate Mistlands food
SulfurStone	Sulfur	material	true	7	Ashlands	gather		0		common	false	false	0	2	1	10	common	raw		high	Sulfur		Mined from Sulfur nodes under arches, dropped by Lava Blobs
VineberrySeeds	Vineberry Seeds	material	true	7	Ashlands	gather		0		uncommon	false	false	0	2	1	10	common	raw		high	Vineberry Seeds		20% chance from Vineberry clusters in Ashlands; grows Ashvine
VoltureMeat	Volture Meat	material	true	7	Ashlands	drop		0		common	false	false	0	2	1	10	common	raw		high	Volture Meat		Raw meat dropped by Volture; cookable at Iron cooking station
AsksvinCarrionNeck	Asksvin neck	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		high	Asksvin neck		Carrion remains found in Ashlands, limited spawns
AsksvinCarrionPelvic	Asksvin pelvis	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		high	Asksvin pelvis		Carrion remains found in Ashlands, limited spawns
AsksvinCarrionRibcage	Asksvin ribcage	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		high	Asksvin ribcage		Carrion remains found in Ashlands, largest piece, limited spawns
AsksvinCarrionSkull	Asksvin skull	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		high	Asksvin skull		Carrion remains found in Ashlands, limited spawns
Bilebag	Bilebag	material	true	7	Ashlands	drop		0		uncommon	false	false	0	3	1	25	rare	raw		high	Bilebag		Ashlands creature material drop
BjornPaw	Bjorn paw	material	true	7	Ashlands	drop		0		uncommon	false	false	0	3	1	25	rare	raw		high	Bjorn paw		Ashlands creature drop, uncommon
CelestialFeather	Celestial feather	material	true	7	Ashlands	drop		0		uncommon	false	false	0	3	1	25	rare	raw		high	Celestial feather		Ashlands creature drop
CharredCogwheel	Charred cogwheel	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		high	Charred cogwheel		Ashlands rare component
CuredSquirrelHamstring	Cured squirrel hamstring	material	true	7	Ashlands	gather		0		na	false	false	0	3	1	25	rare	raw		medium	Cured squirrel hamstring		Ashlands material, limited availability
MoltenCore	Molten core	material	true	7	Ashlands	drop		0		rare	false	false	0	3	1	25	rare	raw		high	Molten Core		Dropped by Charred Fortress enemies
ProustitePowder	Proustite powder	material	true	7	Ashlands	drop		0		uncommon	false	false	0	3	1	25	rare	raw		high	Proustite Powder		Dropped by Lava Blob/Unstable lava rock (Ashlands)
SpiceAshlands	Fiery Spice Powder	material	true	7	N/A	trader		0		na	true	false	40	3	1	25	rare	raw		high	Fiery Spice Powder		Bog Witch purchase (200 coins per 5), requires Fader defeated
MeadBaseHealthLingering	Mead base: Lingering health	material	true	7	Plains	brew	Mead ketill	1	Mead base: Lingering health x1	na	false	false	0	2	2	35	rare	cost		medium	Lingering Healing Mead		Mead base; lingering health regen; crafted at Mead ketill.
GemstoneBlue	Iolite	material	true	7	Ashlands	gather		0		rare	false	false	0	4	1	45	rare	raw		high	Iolite		Found in Charred chests in Charred Fortresses; Ashlands gemstone
GemstoneGreen	Jade	material	true	7	Ashlands	gather		0		rare	false	false	0	4	1	45	rare	raw		high	Jade		Found in Charred chests in Charred Fortresses; Ashlands gemstone
GemstoneRed	Bloodstone	material	true	7	Ashlands	gather		0		rare	false	false	0	4	1	45	rare	raw		high	Bloodstone		Found in Charred chests in Charred Fortresses; Ashlands gemstone
MeadBaseEitrLingering	Mead base: Lingering eitr	material	true	7	Mistlands	brew	Mead ketill	1	Mead base: Lingering eitr x1	na	false	false	0	3	2	86	rare	cost		medium	Lingering Eitr Mead		Mead base for Mistlands; requires Eitr (tier 6 resource).
FeastAshlands_Material	Feast (Ashlands)	material	true	7	Ashlands	cook	Food preparation table	3	Cooked asksvin tail x3, Vineberry cluster x5, Scorching medley x2, Fiery spice powder x1	na	false	false	0	3	4	375	rare	score		medium	Feasts		High-tier feast requiring multiple Ashlands components
Larva	Larva	material	true	8	Deep North	drop		0		uncommon	false	false	0	2	1	14	common	raw		low	none		Deep North creature drop; no wiki page found. Based on Valheim Deep North lore.
MorgenHeart	Morgen heart	material	true	8	Deep North	drop		0		uncommon	true	false	0	3	1	35	rare	raw		high	Morgen Heart		Dropped by Morgen (Deep North boss)
MorgenSinew	Morgen sinew	material	true	8	Deep North	drop		0		uncommon	true	false	0	3	1	35	rare	raw		high	Morgen Sinew		Dropped by Morgen (Deep North boss)
Coins	Coins	material	false	0	Any	dev		0		na	false	false	0	1	1	2	common	raw		high	Coins	currency	In-game currency, not tradeable in mod
Pot_Shard_Red	Pot shard (red)	material	false	0		dev		0		na	false	false	0	0	0	2	common	raw		high	Pot Shard	unused item - coded variant not implemented	Coded variant not implemented in game
VegvisirShard_Bonemass	Yagluth Thing	material	false	0	N/A	dev		0		na	false	false	0	5	1	16	rare	raw		low	none	Placeholder item, removed/replaced by Torn Spirit	No wiki page; item removed in Mistlands update
Mushroom	Mushroom	consumable	true	0	Meadows, Black Forest, Swamp	gather		0		na	false	false	0	1	1	2	common	raw		high	Mushroom		Tier 0 raw gather, respawn 240 min
MushroomYellow	Thistle	consumable	true	0	Meadows	gather		0		na	false	false	0	1	1	2	common	raw		high	Thistle		Tier 0 raw gather
Onion	Onion	consumable	true	0	Meadows, Mountains	gather		0		na	false	false	0	1	1	2	common	raw		high	Onion		Tier 0 raw gather/farm
Raspberry	Raspberries	consumable	true	0	Meadows	gather		0		na	false	false	0	1	1	2	common	raw		high	Raspberries		Tier 0 raw gather, respawn 18000s
Honey	Honey	consumable	true	1	Meadows	gather		0		na	false	false	0	2	1	2	common	anchor	2	high	Honey		Common gather from Beehives; rarity 2 per scale
Carrot	Carrot	consumable	true	1	Meadows	plant		0		na	false	false	0	1	1	2	common	raw		high	Carrot		Farmed from Carrot seeds
CookedChickenMeat	Cooked chicken meat	consumable	true	1	Meadows	cook	Cooking station	1	Chicken meat x1	na	false	false	0	1	2	2	common	cost		high	Chicken Meat		Cooked Meadows-tier meat
CookedDeerMeat	Cooked deer meat	consumable	true	1	Meadows	cook	Cooking station	1	Deer meat x1	na	false	false	0	1	2	2	common	cost		high	Deer Meat		Cooked Meadows-tier meat
CookedEgg	Cooked egg	consumable	true	1	Meadows	cook	Cooking station	1	Egg x1	na	false	false	0	1	2	7	common	cost		high	Egg		Cooked Meadows-tier egg
CookedHareMeat	Cooked hare meat	consumable	true	1	Meadows	cook	Cooking station	1	Hare meat x1	na	false	false	0	1	2	8	common	cost		high	Hare Meat		Cooked Meadows-tier meat
CookedMeat	Cooked boar meat	consumable	true	1	Meadows	cook	Cooking station	1	Boar meat x1	na	false	false	0	1	2	2	common	cost		high	Boar Meat		Cooked Meadows-tier meat
BoarJerky	Boar jerky	consumable	true	1	Meadows	cook	Cauldron	1	Boar meat x1, Honey x1	na	false	false	0	2	2	5	common	cost		high	Boar Jerky		Simple 2-ingredient food at Cauldron
Bread	Bread	consumable	true	1	Meadows	cook	Stone oven	1	BreadDough x1	na	false	false	0	2	2	40	rare	cost		high	Bread		Baked at Stone oven; Meadows-tier
FishAndBread	Fish and bread	consumable	true	1	Meadows, Ocean	craft	Food preparation table	1	Uncooked fish n' bread x1	na	false	false	0	2	2	64	rare	cost		high	Fish and Bread		Simple 2-ingredient meal
NeckTailGrilled	Grilled Neck Tail	consumable	true	1	Ocean	craft	Cooking Station	1	Neck tail x1	na	false	false	0	2	2	3	common	cost		high	Neck Tail		Ocean creature meat, simple cooking
CarrotSoup	Carrot soup	consumable	true	1	Meadows	cook	Cauldron	1	Mushroom x1, Carrot x3	na	false	false	0	2	3	10	common	cost		high	Carrot Soup		Cauldron level 1; 3-ingredient soup
DeerStew	Deer stew	consumable	true	1	Meadows	cook	Cauldron	1	Cooked deer meat x1, Blueberries x1, Carrot x1	na	false	false	0	2	3	9	common	cost		high	Deer Stew		Cauldron; 3-ingredient stew
MeadTasty	Tasty Mead	consumable	true	1	Meadows	craft	Fermenter	2	Mead base: Tasty x1	na	false	false	0	2	4	10	common	anchor	10	high	Tasty Mead		Meadows-tier fermented mead
MeadStaminaMinor	Minor Stamina Mead	consumable	true	1	Meadows	craft	Fermenter	2	Mead base: Minor stamina x1	na	false	false	0	2	4	12	common	anchor	12	high	Minor Stamina Mead		Meadows-tier fermented mead
MeadTamer	Animal Whispers Mead	consumable	true	1	Meadows	craft	Fermenter	2	Mead base: Animal whispers x1	na	false	false	0	2	4	10	common	cost		high	Animal Whispers Mead		Meadows-tier fermented mead
FeastMeadows	Meadows feast	consumable	true	1	Meadows	craft	Food preparation table	1	Mushroom x5, Dandelion x5, Thistle x5	na	false	false	0	2	5	63	rare	cost		medium	Meadows Feast		Feast; Meadows materials
Blueberries	Blueberries	consumable	true	2	Black Forest	gather		0		na	false	false	0	1	1	3	common	raw		high	Blueberries		Gathered from bushes in Black Forest
MeadHealthMinor	Minor Healing Mead	consumable	true	2	Black Forest	craft	Fermenter	2	Mead base: Minor healing x1	na	false	false	0	2	4	12	common	anchor	12	high	Minor Healing Mead		Black Forest-tier fermented mead
MinceMeatSauce	Minced Meat Sauce	consumable	true	2	Black Forest	craft	Cauldron	1	Boar meat x1, Neck tail x1, Carrot x1	na	false	false	0	2	3	9	common	cost		high	Minced Meat Sauce		Black Forest-tier cauldron craft
QueensJam	Queen's Jam	consumable	true	2	Black Forest	craft	Cauldron	1	Raspberries x8, Blueberries x6	na	false	false	0	2	3	44	rare	cost		high	Queen's Jam		Black Forest cauldron level 1 craft
FeastBlackforest	Black forest feast	consumable	true	2	Black Forest	craft	Food preparation table	1	Mushroom x5, Thistle x5, Cloudberries x5	na	false	false	0	2	5	99	rare	cost		medium	Black Forest Feast		Feast; Black Forest materials
RottenMeat	Rotten Meat	consumable	true	3	Swamp	drop		0		common	false	false	0	2	1	5	common	raw		high	Rotten Meat		Swamp gather/drop, food purge effect
FishCooked	Cooked fish	consumable	true	3	Ocean	cook	Cooking station	1	Raw fish x1	na	false	false	0	1	2	2	common	cost		high	Fish		Cooked Ocean-tier fish
SerpentMeatCooked	Cooked Serpent Meat	consumable	true	3	Swamp	craft	Cooking Station	1	Serpent meat x1	na	false	false	0	2	2	6	common	cost		high	Cooked Serpent Meat		Swamp creature meat, simple cooking
BlackSoup	Black soup	consumable	true	3	Swamp, Black Forest	cook	Cauldron	2	Bloodbag x1, Honey x1, Turnip x1	na	false	false	0	2	3	14	common	cost		high	Black Soup		Cauldron level 2; 3-ingredient food
MarinatedGreens	Marinated greens	consumable	true	3	Swamp, Ocean	cook	Cauldron	2	Sap x3, Magecap x2, Fiddlehead x2, Smoke puff x2	na	false	false	0	2	3	133	rare	cost		high	Marinated Greens		Cauldron level 2; Swamp/Ocean
MashedMeat	Mashed meat	consumable	true	3	Swamp	cook	Cauldron	2	Asksvin tail x1, Volture meat x1, Fiddlehead x1	na	false	false	0	2	3	35	rare	cost		high	Mashed Meat		Cauldron level 2; Swamp-tier
Sausages	Sausages	consumable	true	3	Swamp	craft	Cauldron	2	Entrails x4, Boar meat x1, Thistle x1	na	false	false	0	2	3	22	common	cost		high	Sausages		Swamp cauldron level 2 craft, yields 4
ShocklateSmoothie	Muckshake	consumable	true	3	Swamp	craft	Cauldron	2	Ooze x1, Raspberries x2, Blueberries x2	na	false	false	0	2	3	17	common	cost		high	Muckshake		Swamp cauldron level 2 craft
TurnipStew	Turnip Stew	consumable	true	3	Swamp	craft	Cauldron	2	Boar meat x1, Turnip x3	na	false	false	0	2	3	26	common	cost		high	Turnip Stew		Swamp cauldron level 2 craft
MeadHealthMajor	Major health mead	consumable	true	3	Swamp	brew	Fermenter	1	Mead base: Major healing x1	na	false	false	0	2	4	14	common	cost		high	Major Health Mead		Fermented mead; Swamp-tier
MeadHealthMedium	Medium Healing Mead	consumable	true	3	Swamp	craft	Fermenter	2	Mead base: Medium healing x1	na	false	false	0	2	4	10	common	cost		high	Medium Healing Mead		Swamp-tier fermented mead, multi-stage craft
MeadPoisonResist	Poison Resistance Mead	consumable	true	3	Swamp	craft	Fermenter	2	Mead base: Poison resistance x1	na	false	false	0	2	4	10	common	cost		high	Poison Resistance Mead		Swamp-tier fermented mead
MeadStrength	Strength Mead	consumable	true	3	Swamp	craft	Fermenter	2	Mead base: Troll endurance x1	na	false	false	0	2	4	10	common	cost		high	Troll Endurance Mead		Swamp-tier fermented mead, needs Trollfish
SerpentStew	Serpent Stew	consumable	true	3	Swamp	craft	Cauldron	2	Mushroom x1, Cooked serpent meat x1, Honey x2	na	false	false	0	2	4	18	common	cost		high	Serpent Stew		Swamp cauldron level 2 multi-ingredient craft
FeastOceans	Ocean feast	consumable	true	3	Ocean	craft	Food preparation table	1	Cooked fish x3, Seaweed x5, Thistle x5	na	false	false	0	2	5	137	rare	cost		medium	Ocean Feast		Feast; Ocean-tier ingredients
FeastSwamps	Swamp feast	consumable	true	3	Swamp	craft	Food preparation table	1	Cooked turnip x3, Mushroom x5, Thistle x5	na	false	false	0	2	5	135	rare	score		medium	Swamp Feast		Feast; Swamp-tier ingredients
CookedBjornMeat	Cooked bjorn meat	consumable	true	4	Mountains	cook	Cooking station	1	Bear meat x1	na	false	false	0	2	2	12	common	cost		high	Bjorn Meat		Cooked Mountains-tier meat
CookedWolfMeat	Cooked wolf meat	consumable	true	4	Mountains	cook	Cooking station	1	Wolf meat x1	na	false	false	0	2	2	6	common	cost		high	Wolf Meat		Cooked Mountains-tier meat
OnionSoup	Onion Soup	consumable	true	4	Mountains	craft	Cauldron	2	Onion x3	na	false	false	0	2	2	7	common	cost		high	Onion Soup		Mountain cauldron level 2 craft
WolfJerky	Wolf Jerky	consumable	true	4	Mountains	craft	Cauldron	3	Wolf meat x1, Honey x1	na	false	false	0	2	2	8	common	cost		high	Wolf Jerky		Mountain cooking station craft
WolfMeatSkewer	Wolf Meat Skewer	consumable	true	4	Mountains	craft	Cauldron	3	Wolf meat x1, Mushroom x2, Onion x1	na	false	false	0	2	3	14	common	cost		high	Wolf Meat Skewer		Mountain cauldron level 2 craft
Eyescream	Eyescream	consumable	true	4	Mistlands	cook	Cauldron	3	Greydwarf eye x3, Freeze gland x1	na	false	false	0	2	4	20	common	cost		medium	Eyescream		Cauldron level 4; Mistlands ingredients
MeadBzerker	Berserk brew	consumable	true	4	Mountains	brew	Fermenter	1	Mead base: Berserkir x1	na	false	false	0	2	4	12	common	cost		high	Berserk Brew		Fermented mead; Mountains-tier
MeadFrostResist	Frost resistance mead	consumable	true	4	Mountains	brew	Fermenter	1	Mead base: Frost resistance x1	na	false	false	0	2	4	10	common	cost		high	Frost Resistance Mead		Fermented mead; Mountains-tier
MeadHasty	Hasty mead	consumable	true	4	Mountains	brew	Fermenter	1	Mead base: Ratatosk x1	na	false	false	0	2	4	12	common	cost		high	Hasty Mead		Fermented mead; Mountains-tier
MeadHealthLingering	Lingering health mead	consumable	true	4	Mountains	brew	Fermenter	1	Mead base: Lingering health x1	na	false	false	0	2	4	21	common	cost		high	Lingering Health Mead		Fermented mead; Mountains-tier
MeadLightfoot	Lightfoot Mead	consumable	true	4	Mountains	craft	Fermenter	2	Mead base: Lightfoot x1	na	false	false	0	2	4	12	common	cost		high	Lightfoot Mead		Mountain-tier fermented mead, needs scale hide
MeadStaminaMedium	Medium Stamina Mead	consumable	true	4	Mountains	craft	Fermenter	2	Mead base: Medium stamina x1	na	false	false	0	2	4	12	common	cost		high	Medium Stamina Mead		Mountain-tier fermented mead
MeadSwimmer	Swimmer Mead	consumable	true	4	Mountains	craft	Fermenter	2	Mead base: Vananidir x1	na	false	false	0	2	4	10	common	cost		high	Vananidir Mead		Mountain-tier fermented mead, needs Perch
FeastMountains	Mountain feast	consumable	true	4	Mountains	craft	Food preparation table	1	Cooked wolf meat x1, Mushroom x5, Cloudberries x5, Barley flour x1	na	false	false	0	2	5	88	rare	cost		medium	Mountain Feast		Feast; Mountains-tier ingredients
Cloudberry	Cloudberries	consumable	true	5	Plains	gather		0		na	false	false	0	2	1	6	common	raw		high	Cloudberries		Gathered in Plains biome
Pukeberries	Bukeperries	consumable	true	5	Plains	drop		0		uncommon	false	false	0	3	1	14	rare	raw		medium	Bukeperries		Drop from Fuling shaman and Greydwarf shaman
CookedLoxMeat	Cooked lox meat	consumable	true	5	Plains	cook	Cooking station	1	Lox meat x1	na	false	false	0	2	2	7	common	cost		high	Lox Meat		Cooked Plains-tier meat
FierySvinstew	Fiery svinstew	consumable	true	5	Plains	cook	Cauldron	3	Asksvin tail x1, Vineberry cluster x2, Smoke puff x1	na	false	false	0	2	3	52	rare	cost		high	Fiery Svinstew		Cauldron level 3; Plains materials
FishWraps	Fish wraps	consumable	true	5	Ocean	cook	Cauldron	4	Cooked fish x2, Barley flour x4	na	false	false	0	2	3	21	common	cost		high	Fish Wraps		Cauldron level 2; Ocean-tier food
LoxPie	Lox pie	consumable	true	5	Plains	cook	Cauldron	1	Unbaked lox pie x1	na	false	false	0	2	3	74	rare	cost		high	Lox Pie		Cauldron level 1; Plains ingredients
MeadTrollPheromones	Love Potion	consumable	true	5	Plains	trader	Bog Witch	0	none	na	true	false	22	4	1	25	rare	raw		high	Love Potion		Bog Witch trader, 110 coins for 5 potions; gated by defeating Moder
MushroomBzerker	Toadstool	consumable	true	5	Plains	trader	Bog Witch	0	none	na	true	false	85	4	1	25	rare	raw		high	Toadstool		Bog Witch trader, 85 coins; gated by defeating Moder
BarleyWine	Fire resistance barley wine	consumable	true	5	Plains	brew	Fermenter	1	Barley wine base: Fire resistance x1	na	false	false	0	2	4	83	rare	score		high	Fire Resistance Barley Wine		Fermented mead from Plains ingredients; complexity 4
BloodPudding	Blood pudding	consumable	true	5	Plains	cook	Cauldron	4	Thistle x2, Bloodbag x2, Barley flour x4	na	false	false	0	2	4	36	rare	cost		high	Blood Pudding		Cauldron level 4; Plains-tier ingredients
MeadBugRepellent	Anti-sting concoction	consumable	true	5	Plains	brew	Fermenter	1	Mead base: Anti-sting x1	na	false	false	0	2	4	12	common	cost		high	Anti-Sting Concoction		Fermented mead; complexity 4
VikingCupcake	Frosted Sweetbread	consumable	true	5	Plains	craft	Stone Oven	1	Unbaked sweetbread x1	na	false	false	0	2	4	30	common	cost		high	Frosted Sweetbread		Plains-tier stone oven craft
FeastPlains	Plains feast	consumable	true	5	Plains	craft	Food preparation table	1	Cooked lox meat x1, Cloudberries x5, Barley flour x2	na	false	false	0	2	5	77	rare	cost		medium	Plains Feast		Feast; Plains-tier ingredients
Fiddleheadfern	Fiddlehead fern	consumable	true	6	Mistlands	gather		0		na	false	false	0	2	1	7	common	raw		high	Fiddlehead Fern		Gathered in Mistlands
MushroomJotunPuffs	Jotun Puffs	consumable	true	6	Mistlands	gather		0		na	false	false	0	2	1	7	common	raw		high	Jotun Puffs		Mistlands raw gather
RoyalJelly	Royal Jelly	consumable	true	6	Mistlands	gather		0		na	false	false	0	3	1	16	rare	raw		high	Royal Jelly		Mistlands raw gather
CookedBugMeat	Cooked bug meat	consumable	true	6	Mistlands	cook	Cooking station	1	Seeker meat x1	na	false	false	0	2	2	8	common	cost		high	Bug Meat		Cooked Mistlands-tier meat
CookedVoltureMeat	Cooked vulture meat	consumable	true	6	Mistlands	cook	Iron cooking station	1	Volture meat x1	na	false	false	0	2	2	12	common	cost		high	Vulture Meat		Cooked Mistlands-tier meat
HoneyGlazedChicken	Honey glazed chicken	consumable	true	6	Mistlands	cook	Food preparation table	1	Uncooked honey glazed chicken x1	na	false	false	0	2	4	102	rare	cost		high	Honey Glazed Chicken		Multi-tier ingredients; complexity 4
MagicallyStuffedShroom	Magically stuffed shroom	consumable	true	6	Mistlands	cook	Food preparation table	3	Uncooked stuffed mushroom x1	na	false	false	0	2	4	102	rare	cost		high	Magically Stuffed Shroom		Cauldron level 3; Mistlands ingredients
MushroomOmelette	Mushroom Omelette	consumable	true	6	Mistlands	craft	Cauldron	5	Egg x3, Jotun puffs x3	na	false	false	0	2	4	59	rare	cost		high	Mushroom Omelette		Mistlands cauldron level 5 craft
Salad	Salad	consumable	true	6	Mistlands	craft	Cauldron	5	Jotun puffs x3, Onion x3, Cloudberries x3	na	false	false	0	2	4	68	rare	cost		high	Salad		Mistlands cauldron level 5 craft, yields 3
SeekerAspic	Seeker Aspic	consumable	true	6	Mistlands	craft	Cauldron	5	Seeker meat x2, Magecap x2, Royal jelly x2	na	false	false	0	2	4	144	rare	cost		high	Seeker Aspic		Mistlands cauldron level 5 craft
YggdrasilPorridge	Yggdrasil Porridge	consumable	true	6	Mistlands	craft	Cauldron	1	Sap x4, Barley x3, Royal jelly x2	na	false	false	0	2	4	98	rare	cost		high	Yggdrasil Porridge		Mistlands cauldron level 1 craft, needs Yggdrasil wood
MeadStaminaLingering	Lingering Stamina Mead	consumable	true	6	Mistlands	craft	Fermenter	2	Mead base: Lingering stamina x1	na	false	false	0	2	5	14	common	cost		high	Lingering Stamina Mead		Mistlands-tier fermented mead, needs Jotun puffs
MeatPlatter	Meat Platter	consumable	true	6	Mistlands	craft	Stone Oven	1	Uncooked meat platter x1	na	false	false	0	2	5	13	common	cost		high	Meat Platter		Mistlands-tier, multi-biome ingredient hunt
MisthareSupreme	Misthare Supreme	consumable	true	6	Mistlands	craft	Stone Oven	1	Uncooked misthare supreme x1	na	false	false	0	2	5	13	common	cost		high	Misthare Supreme		Mistlands-tier endgame food, high tier ingredients
MeadEitrLingering	Lingering mead: Eitr	consumable	true	6	Mistlands	brew	Fermenter	1	Mead base: Lingering eitr x1	na	false	false	0	3	4	52	rare	cost		high	Lingering Mead: Eitr		Fermented mead; eitr rarity 3
